Question Number,Context,Data,Code
2,,It's significantly difficult attempting to meet the client's expectations when you don't know what they are.,Requirements
2,,"Moreover, I think a big part of Software Engineering, in general, is to able to meet with clients regularly for updated requirements and validation that the project is being made to their standards.","Requirements, Process"
2,,"This format opens up more time for creativity and gives students the opportunity to familiarize themselves with working unsupervised, similar to a professional work environment.",Process
2,,The hackathon format allows students to work on their projects with lower restrictions.,Freedom
2,,"This way, teams can implement their ideas and then receive feedback instead of always working within the confines of the employer project requirement.","Freedom, Process"
2,,This format provided a good balance between working independently and receiving client input through milestones.,"Freedom, Requirements"
2,,Was fun and competitive and I like having the prof as a buffer between us and the client,"Benefit, Communication"
2,,"This format of the course is good because we have time to finish work weekly, and it is very high efficiency",Generic
2,,"I feel like it would probably be quite a bit more stressful to actually have to work with the clients each week, instead of just have them act as judge.","Stress, Communication, Panel"
2,,"Additionally, we still had the opportunity to experience client feedback this way (and I believe some groups still had additional contact with their clients during the year), so I thought it worked well overall.","Requirements, Process"
2,, It managed to take away unnecessary stress while still providing a valuable experience.,Stress
2,,I think this year's format does not work well since the client's requirements are vague.,Requirements
2,,"And since we only get to update to the client and get the feedback at the end of the term, a lot of our work and efforts went wasted (i.e. tear down the OpenShift service, have to shift some of our tech stacks to AWS because the client wants to utilize it but only said at the end of the term...). ",Requirements
2,,"If we can update the client every week, this problem can be pretty much avoided.",Requirements
2,,I would have preferred more direct contact with the clients as to get a more direct experience in working for an actual client.,Communication
2,,Also heard a lot of negative experiences in the past years where students felt like they had to scrap features they had implemented as the client didn't like it.,"Process, Requirements"
2,,"I think it reduced the pressure on us, allowed us to focus on learning concepts instead of working in a rush to meet their criteria. ",Stress
2,,I think communicating with your supervisors and having meeting with them is a good knowledge and skillset to have. ,Generic
2,,When I was working in a co-op setting that was the format when I was producing code for the project and it helped me a lot where I would learn to communicate properly and clearly. ,Requirements
2,,I would also receive feedback that helped better understand the format the client was going towards.,Requirements
2,,I don't dislike it. ,Generic
2,,I worked with clients before and I know that they can change their requirements often for software. ,Generic
2,,"On the other hand, there was some things we were unsure about and I feel like if we had client interaction once in a while it would be good to get an understanding of how to work with them.",Requirements
2,,I think meeting client would have given us a better approach and also help us understand how projects work in the industry as we are looking to get jobs and enter real world scenario where meeting the stakeholder/client is necessary. ,"Process, Requirements"
2,,I always looked forward to capstone as a project where we would be dealing with client 1-on-1 as a team and work with them.,Generic
2,,It was interesting to work in a team and create a project and then the clients would rate us based on that project.,Generic
